,mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
815,815,Sideways,http://www.foxsearchlight.com/sideways/,"Two middle-aged men embark on a spiritual journey through Californian wine country. One is an unpublished novelist suffering from depression, and the other is only days away from walking down the aisle.",23.425431,United States of America,2004-10-22,109502303,126.0,,6.9,478,Comedy,Drama,Romance,california,golf,oscar award
816,816,A Night at the Roxbury,,"Despite being well into adulthood, brothers Doug and Steve Butabi still live at home and work in the flower shop owned by their dad. They exist only to hit on women at discos, though they're routinely unsuccessful until a chance run-in with Richard Grieco gets them inside the swank Roxbury club. Mistaken for high rollers, they meet their dream women, Vivica and Cambi, and resolve to open a club of their own.",12.709227,United States of America,1998-10-01,30331165,81.0,English,5.9,198,Comedy,,,night life,nightclub,flower
817,817,Dickie Roberts: Former Child Star,,"TV child star of the '70s, Dickie Roberts is now 35 and parking cars. Craving to regain the spotlight, he auditions for a role of a normal guy, but the director quickly sees he is anything but normal. Desperate to win the part, Dickie hires a family to help him replay his childhood and assume the identity of an average, everyday kid.",10.149569,United States of America,2003-09-05,0,98.0,English,5.1,64,Comedy,,,loser,child prodigy,
823,823,House of Sand and Fog,,"Behrani, an Iranian immigrant buys a California bungalow, thinking he can fix it up, sell it again, and make enough money to send his son to college. However, the house is the legal property of former drug addict Kathy. After losing the house in an unfair legal dispute with the county, she is left with nowhere to go. Wanting her house back, she hires a lawyer and befriends a police officer. Neither Kathy nor Behrani have broken the law, so they find themselves involved in a difficult moral dilemma.",12.102725,United States of America,2003-12-19,16942795,126.0,English,7.0,199,Drama,,,san francisco,immigrant,house
825,825,The Unborn,http://www.theunbornmovie.net/,A young woman fights the spirit that is slowly taking possession of her.,15.788784,United States of America,2009-01-09,76514050,87.0,English,4.8,365,Horror,Thriller,Mystery,,,
828,828,The Roommate,http://www.theroommate-movie.com/,"When Sara (Minka Kelly), a young design student from Iowa, arrives for college in Los Angeles, she is eager to fit in and get to know the big city. Her wealthy roommate, Rebecca (Leighton Meester), is more than eager to take Sara under her wing and show her the ropes. The two become close, but when Sara begins to branch out and make more friends on campus, Rebecca becomes resentful. Alarmed, Sara moves in with her new boyfriend, causing Rebecca's behavior to take a violent turn.",11.807269,United States of America,2011-02-04,40492759,91.0,English,5.3,224,Thriller,Drama,Horror,jealousy,roommate,obsession
829,829,Drowning Mona,,"The recently deceased Mona Dearly (Bette Midler) was many things: an abusive wife, a domineering mother, a loud-mouthed neighbor and a violent malcontent. So when her car and corpse are discovered in the Hudson River, police Chief Wyatt Rash (Danny DeVito) immediately suspects murder rather than an accident. But, since the whole community of Verplanck, N.Y., shares a deep hatred for this unceasingly spiteful woman, Rash finds his murder investigation overwhelmed with potential suspects.",3.021835,United States of America,2000-03-03,15427192,96.0,English,5.4,43,Comedy,Crime,Mystery,suspicion,suspect,investigation
833,833,Highlander,,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,29.253833,United Kingdom,1986-03-07,5900000,116.0,English,6.8,624,Adventure,Action,Fantasy,new york,scotland,swordplay
834,834,The White Countess,,"The last movie from the team of Ismail Merchant, James Ivory, and Kazuo Ishiguro. Set in 1930s Shanghai, ""The White Countess"" is both Sofia (Natasha Richardson), a fallen member of the Russian aristocracy, and a nightclub created by a blind American diplomat named Jackson (Ralph Fiennes), who asks Sofia to be the centerpiece of the world he wants to create.",4.488547,China,2005-10-30,0,135.0,English,6.9,21,Drama,History,Family,,,
836,836,Madison,,"In 1971, air-conditioner repairman and boat enthusiast Jim McCormick entertains his desire to 'go down' as a legend in the record books when the Gold Cup hydroplane boat race improbably comes to his small town of Madison, Indiana. Immediately, Jim seizes his opportunity to enter the contest. With a motley crew of fellow mechanics and friends at his side, Jim fixes up his old boat and brings hope to the blighted industrial city. Written by Sujit R. Varma",0.212108,United States of America,2001-01-23,0,99.0,English,5.3,3,Action,Adventure,Drama,sport,independent film,
842,842,Little Women,,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",16.418639,United States of America,1994-12-21,0,115.0,English,7.0,215,Drama,Romance,,depression,mother daughter relationship,pregnant
848,848,The Princess Bride,,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",44.533612,United States of America,1987-09-18,30857814,98.0,English,7.6,1486,Adventure,Family,Fantasy,swashbuckler,evil prince,reference to socrates
853,853,All About Steve,http://www.allaboutstevemovie.com/,"After one short date, a brilliant crossword constructor decides that a CNN cameraman is her true love. Because the cameraman's job takes him hither and yon, she crisscrosses the country, turning up at media events as she tries to convince him they are perfect for each other.",13.237835,United States of America,2009-09-04,40105542,99.0,Español,4.7,295,Comedy,,,blind date,eccentric,aftercreditsstinger
855,855,Ramona and Beezus,http://www.ramonaandbeezus.com/,"Ramona is a little girl with a very big imagination and a nose for mischief. Her playful antics keep everyone in her loving family on their toes, including her older sister Beezus, who's just trying to survive her first year of high school. Through all the ups and downs of childhood, Ramona and Beezus learn that anything's possible when you believe in yourself and rely on each other.",9.681147,United States of America,2010-07-23,0,103.0,English,6.1,245,Comedy,Family,,sister sister relationship,mother daughter relationship,aunt niece relationship
861,861,Eye of the Beholder,,"A reclusive surveillance expert is hired to spy on a mysterious blackmailer, who just may be a serial killer.",4.302941,Australia,1999-09-04,0,109.0,English,5.3,42,Drama,Mystery,Thriller,beautiful woman,serial killer,secret service
865,865,A Mighty Heart,http://www.amightyheartmovie.com/,"Based on Mariane Pearl's account of the terrifying and unforgettable story of her husband, Wall Street Journal reporter Danny Pearl's life and death.",9.717392,France,2007-01-01,18928871,100.0,English,6.7,95,Drama,Thriller,,terror,journalism,new love
867,867,In Bruges,http://www.filminfocus.com/film/in_bruges,"Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected.",25.329493,United Kingdom,2008-02-08,34533783,107.0,English,7.4,1388,Comedy,Drama,Crime,bruges belgium,town square,vietnamese
869,869,The Rocker,http://www.rockermovie.com,"Rob ""Fish"" Fishman is the drummer in '80s hair metal band Vesuvius. He's unceremoniously booted as the group signs a big record deal, is out of the music world for 20 years - and then receives a second chance with his nephew's band.",13.832376,United States of America,2008-08-20,8762890,102.0,English,5.6,156,Comedy,Music,,1970s,drums,groupie
870,870,The In Crowd,http://in-crowd.warnerbros.com/,"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.",0.249245,United States of America,2000-07-19,5217498,105.0,English,4.7,15,Thriller,,,woman director,,
871,871,The Three Burials of Melquiades Estrada,,"When brash Texas border officer Mike Norton (Barry Pepper) wrongfully kills and buries the friend and ranch hand of Pete Perkins (Tommy Lee Jones), the latter is reminded of a promise he made to bury his friend, Melquiades Estrada (Julio Cesar Cedillo), in his Mexican home town. He kidnaps Norton and exhumes Estrada's corpse, and the odd caravan sets out on horseback for Mexico. As Estrada's body begins to rot, Norton begins to unravel, but Perkins remains determined to honor his vow.",12.163832,United States of America,2005-11-17,12036149,121.0,English,7.0,177,Adventure,Crime,Drama,border patrol,united states–mexico barrier,promise
872,872,Blood and Chocolate,,A young teenage werewolf is torn between honoring her family's secret and her love for a man.,12.295216,Romania,2007-01-26,0,98.0,English,5.4,87,Drama,Fantasy,Horror,chocolate,werewolf,woman director
873,873,Ong Bak 2,http://www.ongbak2themovie.com/,Moments from death a young man is rescued by a renowned warrior. Realizing unsurpassed physical potential in the young boy he trains him into the most dangerous man alive. As he becomes a young man he goes on a lone mission of vengeance against the vicious slave traders who enslaved him as a youth and the treacherous warlord who killed his father.,9.029489,Thailand,2008-12-04,8936663,98.0,Český,6.0,152,Adventure,Action,Thriller,sequel,,
874,874,Silent Trigger,,"Waxman is a former Special Forces soldier who is now working as a heavily armed assassin for a top secret government agency. When a covert mission goes terribly wrong, Waxman and fellow assassin Clegg become that agency's prime targets.",2.609057,Canada,1996-06-26,76382,93.0,English,5.0,22,Drama,Action,Thriller,,,
875,875,The Good Night,,"Gary, a musician, is trapped in an unhappy relationship with his live-in lover, Dora. He becomes enthralled with a beautiful seductress who enters his dreams, and tries to control his dream-state so he can spend more and more time with her. When Gary sees his mystery woman's face on a bus billboard, he discovers she is real, and fate brings him an opportunity to meet her.",12.185204,Germany,2007-01-25,20380,93.0,English,5.7,41,Comedy,Drama,Romance,dream,midlife crisis,lucid dreaming
877,877,Pretty Woman,,"When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?",45.473484,United States of America,1990-03-23,463000000,119.0,English,7.0,1746,Romance,Comedy,,prostitute,capitalism,cinderella
884,884,The Iron Lady,http://weinsteinco.com/sites/iron-lady/,"A look at the life of Margaret Thatcher, the former Prime Minister of the United Kingdom, with a focus on the price she paid for power.",23.3784,France,2011-12-30,114956699,105.0,English,6.2,527,History,Drama,,capitalism,prime minister,argentina
890,890,10 Things I Hate About You,,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.",54.550275,United States of America,1999-03-30,53478166,97.0,English,7.3,1701,Comedy,Romance,Drama,shakespeare,sister,high school
892,892,Snow Day,,"When a school in upstate New York is snowed in, a group of students hi-jack a plow to keep the school closed..",7.964289,United States of America,2000-02-11,0,89.0,English,4.8,51,Comedy,Family,,,,
899,899,Faithful,,"A depressed housewife whose husband is having an affair contemplates suicide, but changes her mind when she faces death by a killer hired to do her in.",1.647335,United States of America,1996-04-03,9789900,91.0,English,4.8,4,Comedy,Crime,Drama,kitchen,female protagonist,bathtub
902,902,The Vatican Tapes,,"In a highly secured vault deep within the walls of Vatican City, the Catholic Church holds thousands of old films and video footage documenting exorcisms/supposed exorcisms and other unexplained religious phenomena they feel the world is not ready to see. This is the first tape - Case 83-G - stolen from these archives and exposed to the public by an anonymous source.",10.475368,United States of America,2015-07-24,1784763,91.0,English,4.6,243,Thriller,Horror,,exorcism,anti-christ,exorcist
903,903,Attack the Block,http://attacktheblock.com/,A teen gang in a grim South London housing estate must team up with the other residents to protect their neighbourhood from a terrifying alien invasion.,30.952377,United Kingdom,2011-05-12,3964682,88.0,English,6.3,733,Action,Comedy,Science Fiction,street gang,fireworks,chase
905,905,The Crocodile Hunter: Collision Course,,"Aussie adventurer Steve Irwin aka The Crocodile Hunter has avoided the death-roll and nabbed another feisty croc, hoping to save it from poachers. What Steve doesn't know is that the crocodile has innocently swallowed a top secret US satellite beacon, and the poachers are actually American special agents sent to retrieve it. Crikey! In the Outback and through the bush with his wife Terri's ever-present commentary ringing out over the countryside (""That was a close one, Steve!""), the Crocodile Hunter is out to save the gorgeous croc and relocate him. It won't be easy, but if he can handle bird-eating spiders and venomous snakes without getting bitten, gun-wielding agents shouldn't be too much of a problem.",1.714972,Australia,2002-07-26,33082548,90.0,English,5.3,34,Family,Action,Adventure,crocodile,,
906,906,I Love You Phillip Morris,,"Steve Russell is a small-town cop. Bored with his bland lifestyle, Russell turns to fraud as a means of shaking things up. Before long, Russell's criminal antics have landed him behind bars, where he encounters the charismatic Phillip Morris. Smitten, Russell devotes his entire life to being with Morris regardless of the consequences.",19.664699,United States of America,2009-01-18,10652035,98.0,English,6.4,503,Comedy,Drama,Romance,judge,small town,con man
907,907,Sorority Row,,"When five sorority girls inadvertently cause the murder of one of their sisters in a prank gone wrong, they agree to keep the matter to themselves and never speak of it again, so they can get on with their lives. This proves easier said than done, when after graduation a mysterious killer goes after the five of them and anyone who knows their secret.",8.780512,United States of America,2009-09-09,27206120,101.0,English,5.4,177,Horror,Mystery,Thriller,female nudity,graduation,serial killer
908,908,Machete,http://www.vivamachete.com/,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",26.396191,United States of America,2010-09-01,31327899,105.0,English,6.3,1150,Action,Comedy,Thriller,illegal immigration,immigration law,machete
909,909,The Perfect Game,http://www.theperfectgamemovie.com,"Based on a true story, a group of boys from Monterrey, Mexico who become the first non-U.S. team to win the Little League World Series.",0.903529,United States of America,2010-04-01,3878993,118.0,English,6.3,30,Drama,Family,,baseball,sport,based on true story
911,911,The Golden Child,,"A detective specializing in missing children is on a madcap mission to save a youth with mystical powers who's been abducted by an evil cult. He battles a band of super-nasties, scrambles through a booby-trapped chamber of horrors and traverses Tibet to obtain a sacred dagger.",15.26213,United States of America,1986-12-12,79817939,94.0,Český,5.6,304,Action,Adventure,Comedy,monk,social worker,wretch
916,916,Crossroads,,"Three friends get together and bury a box making a pact to open it at midnight at their high school graduation. In the little town in Georgia that they live in, things soon change. One is little miss perfect, one is an engaged prom queen, and the other is a pregnant outcast. The night of graduation, they open the box and they strike up a conversation. All of a sudden, one brings up the topic of her going to Los Angeles for a record contract audition. They all decide to go together and they leave. With a little money, they set out on the road with a guy named Ben. When one of them tells the other a rumor that he might be a homicidal maniac they are all scared of him. When they reach LA, Lucy falls in love with Ben and against her father's wishes, she stays and she goes to the audition.",6.703319,United States of America,2002-02-15,61141030,93.0,English,4.7,158,Action,Adventure,Comedy,dancing,women,sex
920,920,Top Five,http://www.topfivemovie.com/,A comedian tries to make it as a serious actor when his reality-TV star fiancé talks him into broadcasting their wedding on her TV show.,15.896312,United States of America,2014-12-12,25434291,102.0,English,6.3,210,Drama,Comedy,,comedian,interview,reporter
931,931,The Dangerous Lives of Altar Boys,,"A group of Catholic school friends, after being caught drawing an obscene comic book, plan a heist that will outdo their previous prank and make them local legends.",2.24888,United States of America,2002-06-14,0,104.0,English,6.4,53,Comedy,Drama,,independent film,,
933,933,Critical Care,,"Werner Ernst is a young hospital resident who becomes embroiled in a legal battle between two half-sisters who are fighting over the care of their comatose father. But are they really fighting over their father's care, or over his $10 million estate? Meanwhile, Werner must contend with his nutty supervisor, who insists that he only care for patients with full insurance. Can Werner sidestep the hospital's legal team and do what's best for the patient?",2.678715,United States of America,1997-10-31,0,107.0,English,6.1,9,Comedy,Drama,,nun,satire,hospital
940,940,The Ladies Man,,"Because of his salacious language, late-night radio advice-show host Leon Phelps, along with his sweet and loyal producer Julie, is fired from his Chicago gig. Leon gets a letter from a former lover promising a life of wealth, but he doesn't know who she is. Can Leon find his secret sugar-mama? What about Julie?",2.259537,United States of America,2000-10-13,13700000,84.0,English,5.7,34,Comedy,,,female nudity,tattoo,radio
942,942,Frailty,,"A man confesses to an FBI agent his family's story of how his religious fanatic father's visions lead to a series of murders to destroy supposed ""demons.""",16.003958,Germany,2001-11-17,13110448,100.0,English,7.0,334,Drama,Thriller,Crime,angel,sheriff,loss of mother
943,943,Slackers,,"Dave, Sam and Jeff are about to graduate from Holden University with honors in lying, cheating and scheming. The three roommates have proudly scammed their way through the last four years of college and now, during final exams, these big-men-on-campus are about to be busted by the most unlikely dude in school. Self-dubbed Cool Ethan, an ambitious nerd with a bad crush, enters their lives one day and everything begins to unravel.",9.371811,Canada,2002-02-01,6413915,86.0,English,5.4,60,Comedy,Romance,,male nudity,drug abuse,job interview
945,945,Inside Llewyn Davis,http://www.cbsfilms.com/inside-llewyn-davis/,"In Greenwich Village in the early 1960s, gifted but volatile folk musician Llewyn Davis struggles with money, relationships, and his uncertain future following the suicide of his singing partner.",36.319205,United States of America,2013-10-06,32935319,105.0,English,7.2,834,Drama,Music,,folk music,performance,aspiring singer
946,946,LOL,,"In a world connected by YouTube, iTunes, and Facebook, Lola and her friends navigate the peer pressures of high school romance and friendship while dodging their sometimes overbearing and confused parents. When Lola's mom, Anne, ""accidentally"" reads her teenage daughter's racy journal, she realizes just how wide their communication gap has grown.",31.763201,United States of America,2012-02-10,0,97.0,English,5.9,881,Drama,Comedy,Romance,coming of age,mother daughter relationship,teen movie
947,947,The Last Days on Mars,,"On the last day of the first manned mission to Mars, a crew member of Tantalus Base believes he has made an astounding discovery – fossilized evidence of bacterial life. Unwilling to let the relief crew claims all the glory, he disobeys orders to pack up and goes out on an unauthorized expedition to collect further samples. But a routine excavation turns to disaster when the porous ground collapses and he falls into a deep crevice and near certain death. His devastated colleagues attempt to recover his body. However, when another vanishes, they start to suspect that the life-form they have discovered is not without danger.",18.764453,Ireland,2013-08-11,0,98.0,English,5.2,302,Science Fiction,Thriller,Horror,mars,science fiction,zombie
951,951,The Best Exotic Marigold Hotel,http://www.foxsearchlight.com/thebestexoticmarigoldhotel/,"British retirees travel to India to take up residence in what they believe is a newly restored hotel. Less luxurious than its advertisements, the Marigold Hotel nevertheless slowly begins to charm in unexpected ways as the residents find new purpose in their old age.",21.258991,United Arab Emirates,2011-11-28,136836156,124.0,हिन्दी,6.9,459,Drama,Comedy,,hotel,based on novel,india
953,953,The Boy,http://theboymovie.tumblr.com/,"A nanny, working for a family whose son has just passed away, finds herself put in charge of caring for a lifelike doll that the couple treat as a real child.",38.179483,United States of America,2016-01-22,64188367,97.0,English,5.8,1102,Horror,Mystery,Thriller,suicide,england,fire
959,959,Sugar Hill,http://en.wikipedia.org/wiki/Sugar_Hill_(1994_film),"Sugar Hill is a 1994 American crime-drama/neo-noir film starring Wesley Snipes and Michael Wright as brothers Roemello and Raynathan Skuggs. The film focuses on the two brothers, who are major drug dealers in the Harlem neighborhood of New York City.",2.580808,United States of America,1994-02-25,0,123.0,English,5.2,13,Drama,Action,Thriller,,,
964,964,Mud,,Two teenage boys encounter a fugitive and make a pact to help him escape from an island in the Mississippi.,17.663353,United States of America,2013-05-01,21587700,130.0,English,7.0,1068,Drama,,,river,snake,arkansas
969,969,The Gift,https://www.facebook.com/GIFTmovie,"A husband and wife try to reinvigorate their relationship but their lives are threatened by a ""friend"" from the husband's past who holds a horrifying secret about him, sending their world into a tailspin.",27.247013,United States of America,2015-07-30,58978653,108.0,English,6.7,1049,Thriller,Mystery,,detective,stalker,gift
977,977,"Jeff, Who Lives at Home",,"Dispatched from his basement room on an errand for his mother, slacker Jeff might discover his destiny (finally) when he spends the day with his brother as he tracks his possibly adulterous wife.",10.409155,United States of America,2011-09-13,4417580,83.0,English,6.1,217,Drama,Comedy,,slacker,basement,destiny
978,978,The Limey,,"The Limey follows Wilson (Terence Stamp), a tough English ex-con who travels to Los Angeles to avenge his daughter's death. Upon arrival, Wilson goes to task battling Valentine (Peter Fonda) and an army of L.A.'s toughest criminals, hoping to find clues and piece together what happened. After surviving a near-death beating, getting thrown from a building and being chased down a dangerous mountain road, the Englishman decides to dole out some bodily harm of his own.",8.902102,United States of America,1999-05-15,3193102,89.0,English,6.6,105,Action,Crime,Drama,prison,release from prison,suitcase
982,982,Nicholas Nickleby,,"The Charles Dickens story of Nicholas Nickleby, a young boy in search of a better life for his recently torn-apart family. A young compassionate man struggles to save his family and friends from the abusive exploitation of his coldheartedly grasping uncle.",5.099923,United Kingdom,2002-12-27,0,132.0,English,6.8,49,Adventure,Drama,Action,,,
983,983,The Joneses,http://www.thejonesesmovie.com/,"A seemingly perfect family moves into a suburban neighborhood, but when it comes to the truth as to why they're living there, they don't exactly come clean with their neighbors.",14.979375,United States of America,2009-09-13,7022728,96.0,Český,6.1,210,Comedy,Drama,,independent film,duringcreditsstinger,
984,984,The Reef,http://reefmovie.com/,A great white shark hunts the crew of a capsized sailboat along the Great Barrier Reef.,7.245108,Australia,2010-05-15,0,94.0,English,5.4,130,Drama,Horror,Thriller,boat,boat accident,underwater
985,985,Jungle Shuffle,http://www.jungleshuffle.com/,In this turbulent jungle adventure an outcast coati male has to team up with a quirky spider monkey to save a coati princess from the hands of a human poacher and his mysterious client.,1.413934,Mexico,2014-08-07,0,85.0,English,6.5,1,Family,Animation,Adventure,poacher,jungle,
986,986,Good Intentions,http://www.goodintentionsmovie.com/,"Meet Etta Milford. Loving Wife. Doting Mother. Armed Robber. Etta's husband constantly blows their money on make-shift inventions. When she decides to secretly take ""investment"" matters into her own hands - things quickly go awry! With their savings gone, her husband suspicious, and their children out of control, Etta concocts a scheme to get back their money and save her family.",0.304566,United States of America,2010-03-09,0,85.0,English,5.0,6,Comedy,,,independent film,,
990,990,Red Dog,http://www.reddogmovie.com/,Based on the legendary true story of the Red Dog who united a disparate local community while roaming the Australian outback in search of his long lost master.,5.499412,Australia,2011-08-04,0,92.0,English,7.1,83,Drama,Comedy,Family,1970s,human animal relationship,australia
991,991,Jab Tak Hai Jaan,,"An ex-army man, leading a double life in London, must choose between his wife and muse.  Jab Tak Hai Jaan movie is a love triangle,and also marks the return of Yash Chopra as a director after eight years.  In Jab Tak Hai Jaan, Shahrukh Khan plays the character of Samar who is an angry, unforgiving, with loads of emotional baggage. His role will span two ages, one in his late twenties as a musician based in London and the other at an older age as an introverted, composed, dutiful army officer in Kashmir.  Katrina as Meera play as a seductress, an unattainable beauty. And Anushka as Akira who is 21 year old and works for Discovery Channel and makes documentaries.",5.900535,India,2012-11-13,0,176.0,हिन्दी,7.3,66,Drama,Romance,,bollywood,fall in love,
994,994,Child's Play,,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed with the soul of a serial killer.",27.600843,United States of America,1988-11-08,44196684,87.0,English,6.3,581,Horror,Thriller,,gun,birthday,voodoo
995,995,Sicko,,"Sicko is a Michael Moore documentary about the corrupt health care system in The United States who's main goal is to make profit even if it means losing peoples lives. ""The more people you deny health insurance the more money we make"" is the business model for health care providers in America.",14.098952,United States of America,2007-05-18,24538513,123.0,English,7.3,235,Documentary,,,bureaucracy,usa,corruption
998,998,The Ultimate Gift,,"When his wealthy grandfather finally dies, Jason Stevens fully expects to benefit when it comes to the reading of the will. But instead of a sizable inheritance, Jason receives a test, a series of tasks he must complete before he can get any money.",4.976268,United States of America,2006-10-20,0,114.0,Español,6.8,78,Romance,Drama,Family,grandfather grandson relationship,independent film,wealth
1000,1000,Beneath Hill 60,http://www.beneathhill60.com.au/index.htm,"The true story of Australia's cat-and-mouse underground mine warfare – one of the most misunderstood, misrepresented and mystifying conflicts of WW I. It was a secret struggle BENEATH the Western Front that combined daring engineering, technology and science, and few on the surface knew of the brave, claustrophobic and sometimes barbaric work of these tunnellers.",3.949796,Australia,2010-04-15,0,122.0,English,7.3,40,Drama,History,War,,,
1001,1001,Awake,,"While undergoing heart surgery, a man experiences a phenomenon called ‘anesthetic awareness’, which leaves him awake but paralyzed throughout the operation. As various obstacles present themselves, his wife must make life-altering decisions while wrestling with her own personal drama.",18.172736,United States of America,2007-11-28,14373825,84.0,日本語,6.3,395,Thriller,Crime,Mystery,,,
1008,1008,Repo! The Genetic Opera,,"A worldwide epidemic encourages a bio-tech company to launch an organ-financing program similar in nature to a standard car loan. The repossession clause is a killer, however.",5.897479,United States of America,2008-07-18,188126,98.0,English,6.7,100,Horror,Comedy,Music,dystopia,,
1014,1014,Little Miss Sunshine,http://www.foxsearchlight.com/littlemisssunshine/,"A family loaded with quirky, colorful characters piles into an old van and road trips to California for little Olive to compete in a beauty pageant.",14.793177,United States of America,2006-07-26,100523181,102.0,English,7.5,1686,Comedy,Drama,,california,brother sister relationship,wife husband relationship
1018,1018,Shutter,,"A newly married couple discovers disturbing, ghostly images in photographs they develop after a tragic accident. Fearing the manifestations may be connected, they investigate and learn that some mysteries are better left unsolved.",8.864368,United States of America,2008-03-21,0,85.0,English,5.3,180,Horror,Mystery,Thriller,japan,suicide,photographer
1024,1024,Wuthering Heights,http://www.pbs.org/wgbh/masterpiece/wutheringheights/index.html,Foundling Heathcliff is raised by the wealthy Earnshaws in Yorkshire but in later life launches a vendetta against the family.,4.409263,special,2009-01-18,0,142.0,English,6.9,37,Drama,,,woman director,,
1025,1025,Mr. Church,,"A unique friendship develops when a little girl and her dying mother inherit a cook - Mr. Church. What begins as an arrangement that should only last six months, instead spans fifteen years.",7.828459,United States of America,2016-09-16,0,104.0,English,7.0,129,Drama,,,cook,friendship,
1026,1026,The Blood of Heroes,,"Set in a futuristic world where the only sport that has survived in a wasted society is the brutal game known as jugging. Sallow, the leader of a rag-tag team, has played in the main Leagues before, but was cast out because of indiscretions with a lady. However now joined by a talented newcomer, Kidda, an ambitious young peasant girl he and his team find they have one last chance for glory",6.41678,United States of America,1989-10-19,882290,100.0,English,5.9,31,Action,Adventure,Science Fiction,martial arts,post-apocalyptic,sport
1027,1027,Soul Food,,"Traditional Sunday dinners at Mama Joe's (Irma P. Hall) turn sour when sisters Teri (Vanessa L. Williams), Bird (Nia Long) and Maxine (Vivica A. Fox) start bringing their problems to the dinner table in this ensemble comedy. When tragedy strikes, it's up to grandson Ahmad (Brandon Hammond) to pull the family together and put the soul back into the family's weekly gatherings. Michael Beach, Mekhi P",4.105363,United States of America,1997-09-26,0,114.0,Italiano,6.6,19,Comedy,Drama,,sister,family relationships,unity
1028,1028,Narc,,"An undercover narc dies, the investigation stalls, so the Detroit P.D. brings back Nick Tellis, fired 18-months ago when a stray bullet hits a pregnant woman. Tellis teams with Henry Oak, a friend of the dead narc and an aggressive cop constantly under the scrutiny of internal affairs. They follow leads and informants turn up dead.",8.526635,Canada,2002-01-14,12633747,105.0,English,6.8,142,Action,Crime,Drama,assertion,investigation,internal affairs
1029,1029,The Work and the Glory,http://www.workandtheglory.com/,"When Benjamin Steed and Mary Ann Steed relocate their family to upstate New York in the early 1800's, they unwittingly settle in a town divided along religious lines. After their new hired help turns out to be at the center of the uproar, each member of the Steed family must come to terms with their own beliefs in the face of heavy persecution. Together they struggle to weather the raging controversy surrounding a young man named Joseph Smith.",0.571663,special,2004-11-24,3347647,110.0,English,6.1,7,Drama,Romance,,,,
1031,1031,Black November,,"A volatile, oil-rich Nigerian community wages war against their corrupt government and a multi-national oil corporation to protect their land from being destroyed by excessive drilling and spills.  To seek justice, a rebel organization kidnaps an American oil executive and demands that his corporation end the destruction and pollution.  Inspired by true events, Black November is the gripping story of how a community rises up and takes drastic measures to make sure their voices are heard.",1.589693,United States of America,2012-12-07,0,95.0,special,6.4,4,Drama,Action,Crime,,,
1032,1032,Ta Ra Rum Pum,http://www.yashrajfilms.com/microsites/TRRP/microflash.html,"A poor New York resident, who is of Indian origin, dreams of becoming a fast car race driver. He endeavors, and his efforts are rewarded when he selected by a little-known group called 'RACING SADDLES'. He joins them and soon becomes their ace race driver. This man, whose name is Rajveer, then meets with a rich American woman, also of Indian origin, whose name is Radhika.  Both fall in love with each other. They cannot get married, because Radhika's family hates Rajveer mainly because he is very poor. But Radhika is very stubborn, so she marries him. She loses all her rights to her family's wealth. They get married and become parents of two children. They also become very rich. Then Rajveer has an accident which changes their lives forever. They get into debt and stand to lose everything. Will Radhika be forced to return back to her family?",0.553752,India,2007-04-27,0,156.0,English,6.0,13,Family,Comedy,Romance,new york,from rags to riches,family relationships
1033,1033,The Neon Demon,http://theneondemon.com/,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",38.150787,Denmark,2016-06-08,1333124,117.0,English,6.4,887,Thriller,Horror,,model,,
1034,1034,Harry Brown,,An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,16.829837,United Kingdom,2009-11-11,10329747,103.0,English,6.7,348,Thriller,Crime,Drama,self-defense,widower,
