,mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
608,608,My Sister's Keeper,http://www.mysisterskeepermovie.com/,"Sara and Brian live an idyllic life with their young son and daughter. But their family is rocked by sudden, heartbreaking news that forces them to make a difficult and unorthodox choice in order to save their baby girl's life. The parents' desperate decision raises both ethical and moral questions and rips away at the foundation of their relationship. Their actions ultimately set off a court case that threatens to tear the family apart, while revealing surprising truths that challenge everyone's perceptions of love and loyalty and give new meaning to the definition of healing.",24.09152,United States of America,2009-06-26,95714875,109.0,Hrvatski,7.1,598,Drama,,,parents kids relationship,sister sister relationship,court case
609,609,Welcome Home Roscoe Jenkins,,"Martin Lawrence leads an all-star cast, including Cedric the Entertainer, Mo'Nique, and Mike Epps, in the hit comedy ""Welcome Home Roscoe Jenkins."" When a celebrated TV show host (Lawrence) returns to his hometown in the South, his family is there to remind him that going home is no vacation! It's one outrageous predicament after another when big-city attitude and small-town values collide in this hysterical comedy critics are praising for its ""over-the-top hilarity!"" (Roger Moore, Orlando Sentinel).",6.248273,United States of America,2008-02-08,43650785,114.0,English,5.7,57,Comedy,Drama,,talk show,,
611,611,Kiss the Girls,,"Forensic psychologist Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down ""Casanova,"" a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles, where the duo discovers that the psychopath may not be working alone.",18.913,United States of America,1997-10-03,60527873,115.0,English,6.2,345,Drama,Mystery,Thriller,washington d.c.,covered investigation,investigation
612,612,About a Boy,http://movies.uip.de/aboutaboy/,"Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself off as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. But Will's hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus, in many ways his complete opposite.",28.227984,United Kingdom,2002-04-26,129000000,101.0,English,6.6,607,Drama,Comedy,Romance,london england,rock and roll,single parent
615,615,Case 39,http://www.case39movie.com/mainsite/,"In her many years as a social worker, Emily Jenkins believes she has seen it all, until she meets 10-year-old Lilith and the girl's cruel parents. Emily's worst fears are confirmed when the parents try to harm the child, and so Emily assumes custody of Lilith while she looks for a foster family. However, Emily soon finds that dark forces surround the seemingly innocent girl, and the more she tries to protect Lilith, the more horrors she encounters.",23.917982,Canada,2009-08-13,29000000,109.0,English,6.1,563,Horror,Mystery,Thriller,child abuse,detective,social worker
616,616,Spy Kids: All the Time in the World,http://spykidsmovie.net/,"Eight years after the third film, the OSS has become the world's top spy agency, while the Spy Kids department has since become defunct. A retired spy Marissa (Jessica Alba) is thrown back into the action along with her stepchildren when a maniacal Timekeeper (Jeremy Piven) attempts to take over the world. In order to save the world, Rebecca (Rowan Blanchard) and Cecil (Mason Cook) must team up with their hated stepmother. Carmen and Juni have since also grown up and will provide gadgets to them.",14.788073,United States of America,2011-08-18,85564310,89.0,English,4.4,222,Family,Comedy,Action,spy,child hero,secret agent
619,619,Paul Blart: Mall Cop,http://paulblartmallcop.com/,"Mild-mannered Paul Blart (Kevin James) has always had huge dreams of becoming a State Trooper. Until then, he patrols the local mall as a security guard. With his closely cropped moustache, personal transporter and gung-ho attitude, only Blart seems to take his job seriously. All that changes when a team of thugs raids the mall and takes hostages. Untrained, unarmed and a super-size target, Blart has to become a real cop to save the day.",31.250383,United States of America,2009-01-15,183293131,91.0,English,5.2,788,Action,Adventure,Comedy,security guard,duringcreditsstinger,
621,621,Pineapple Express,http://www.sonypictures.com/movies/pineappleexpress/,A stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder.,41.832392,United States of America,2008-08-06,101624843,111.0,English,6.6,1148,Action,Comedy,,smoking,marijuana,stoner
623,623,A Bridge Too Far,,Tells the story of operation Market Garden. A failed attempt by the allies in the latter stages of WWII to end the war quickly by securing three bridges in Holland allowing access over the Rhine into Germany. A combination of poor allied intelligence and the presence of two crack German panzer divisions meant that the final part of this operation (the bridge in Arnhem over the Rhine) was doomed to failure.,20.256571,United Kingdom,1977-06-15,50750000,175.0,English,6.9,207,Drama,History,War,netherlands,world war ii,panzer
624,624,Final Destination 2,,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.",37.355826,United States of America,2003-01-31,90426405,90.0,English,5.9,1023,Horror,Mystery,,ambulance,premonition,hospital
625,625,Legion,http://www.legionmovie.com,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.",30.981604,United States of America,2010-01-21,67918658,100.0,English,5.2,629,Horror,,,angel,diner,religion
627,627,Brothers,,"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy  steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.",22.07638,United States of America,2009-01-27,43318349,104.0,English,6.8,633,Drama,Thriller,War,brother brother relationship,brother-in-law,loss of husband
630,630,Rain Man,,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,49.510658,United States of America,1988-12-11,412800000,133.0,Italiano,7.6,1709,Drama,,,individual,mentally disabled,autism
631,631,Gran Torino,http://www.thegrantorino.com/,"Walt Kowalski is a widower who holds onto his prejudices despite the changes in his Michigan neighborhood and the world around him. Kowalski is a grumpy, tough-minded, unhappy old man who can't get along with either his kids or his neighbors. He is a Korean War veteran whose prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbor Thao, a young Hmong teenager under pressure from his gang member cousin, tries to steal his Gran Torino, Kowalski sets out to reform the youth. Drawn against his will into the life of Thao's family, Kowalski is soon taking steps to protect them from the gangs that infest their neighborhood.",50.7453,United States of America,2008-12-09,269958228,116.0,English,7.8,3086,Drama,,,rape,war veteran,immigration
633,633,Schindler's List,http://www.schindlerslist.com/,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,104.469351,United States of America,1993-11-29,321365567,195.0,Deutsch,8.3,4329,Drama,History,War,factory,concentration camp,hero
634,634,The Help,http://thehelpmovie.com/#/splash,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",42.191509,India,2011-08-09,124272124,146.0,English,7.8,1910,Drama,,,mississippi,based on novel,exploitation
635,635,Jimmy Neutron: Boy Genius,,"Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.",12.739721,United States of America,2001-12-21,80936232,83.0,English,5.6,231,Action,Adventure,Animation,showdown,gi,villain
636,636,Cloverfield,http://www.cloverfieldmovie.com/,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",46.942396,United States of America,2008-01-15,170764026,85.0,Pусский,6.4,2251,Action,Thriller,Science Fiction,helicopter,monster,skyscraper
637,637,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,,"The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",15.505137,Hong Kong,1991-03-22,78000000,88.0,English,5.8,286,Science Fiction,Adventure,Action,crime fighter,fight,mutant
639,639,No Strings Attached,http://www.nostringsattachedmovie.com/,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",38.688822,United States of America,2011-01-21,147780440,107.0,English,6.1,1331,Comedy,Romance,,father son relationship,casual meeting,student of medicine
641,641,Final Destination 3,,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate.",31.64341,Canada,2006-02-10,117719158,93.0,English,5.8,974,Horror,Mystery,,beheading,dying and death,stroke of fate
642,642,Hide and Seek,,"David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination.",18.228538,United States of America,2005-01-27,122644820,101.0,English,6.1,440,Horror,Mystery,Thriller,house,imaginary friend,suspense
643,643,GoodFellas,http://www.warnerbros.com/goodfellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",63.654244,United States of America,1990-09-12,46836394,145.0,Italiano,8.2,3128,Drama,Crime,,prison,based on novel,florida
644,644,Nothing to Lose,,"Advertising executive Nick Beame learns that his wife is sleeping with his employer. In a state of despair, he encounters a bumbling thief whose attempted carjacking goes awry when Nick takes him on an involuntary joyride. Soon the betrayed businessman and the incompetent crook strike up a partnership and develop a robbery-revenge scheme. But it turns out that some other criminals in the area don't appreciate the competition.",8.618208,United States of America,1997-07-18,0,97.0,English,6.3,174,Action,Adventure,Comedy,rap music,infidelity,security camera
645,645,Money Talks,,"Money Talks is a 1997 American comedy film directed by Brett Ratner. Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.",7.615653,United States of America,1997-08-22,0,97.0,English,5.9,87,Action,Adventure,Comedy,prison,diamant,liberation of prisoners
646,646,There Will Be Blood,,"When ruthless oil prospector, Daniel Plainview learns of oil-rich land in California that can be bought cheaply, he moves his operation there and begins manipulating and exploiting the local landowners into selling him their property. Using his young adopted son to project the image of a caring family man, Plainview gains the cooperation of almost all the locals with lofty promises to build schools and cultivate the land to make their community flourish. Over time, Plainview's gradual accumulation of wealth and power causes his true self to surface, and he begins to slowly alienate himself from everyone in his life.",37.817905,United States of America,2007-12-28,77208711,158.0,English,7.9,1537,Drama,,,brother brother relationship,deaf-mute,american dream
648,648,What a Girl Wants,,"An American girl, Daphne, heads to Europe in search of the father she's never met. But instead of finding a British version of her bohemian mother, she learns the love of her mom's life is an uptight politician. The only problem now is that her long-lost dad is engaged to a fiercely territorial social climber with a daughter who makes Daphne's life miserable.",7.057765,United States of America,2003-03-27,0,105.0,English,5.8,368,Comedy,,,london england,england,daughter
649,649,Good Luck Chuck,http://www.goodluckchuckthemovie.com/,"Cursed since childhood, dentist Charlie Kagan cannot find the right woman. Even worse, he learns that each of his ex-girlfriends finds true love with the man she meets after her relationship with him ends. Hearing of Charlie's reputation as a good-luck charm, women from all over line up for a quick tryst. But when Charlie meets the woman of his dreams, he must find a way to break the curse or risk losing her to the next man she meets.",21.729434,Canada,2007-09-21,59192128,101.0,English,5.5,444,Comedy,Drama,Romance,sex,aquarium,nudity
650,650,Cradle 2 the Grave,,"Gang leader Tony pulls off a major diamond heist with his crew, but cop-turned-criminal Ling knows who has the loot and responds by kidnapping Tony's daughter and holding her for ransom. Unfortunately, Tony's lost the diamonds as well. As he frantically searches for his daughter and the jewels, Tony pairs with a high-kicking government agent who once worked with Ling and seeks revenge on him.",12.837116,United States of America,2003-02-28,56489558,101.0,English,5.8,236,Action,Crime,Drama,robbery,diamant,intelligence
652,652,Crocodile Dundee in Los Angeles,,"After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick ""Crocodile"" Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life -- many of them inadvertent",6.081772,Australia,2001-04-12,39438674,92.0,English,4.7,146,Adventure,Comedy,,crocodile,traffic jam,los angeles
653,653,Kingpin,,"After bowler Roy Munson swindles the wrong crowd and is left with a hook for a hand, he settles into impoverished obscurity. That is, until he uncovers the next big thing: an Amish kid named Ishmael. So, the corrupt and the hopelessly naïve hit the circuit intent on settling an old score with Big Ern.",17.329269,United States of America,1996-07-04,25023434,113.0,English,6.7,244,Comedy,,,sport,handicap,sexual favor
655,655,August: Osage County,,"A look at the lives of the strong-willed women of the Weston family, whose paths have diverged until a family crisis brings them back to the Midwest house they grew up in, and to the dysfunctional woman who raised them.",20.561682,United States of America,2013-12-26,74188937,121.0,English,6.9,483,Comedy,Drama,,suicide,drug addiction,funeral
658,658,Dear John,,Sergeant John Tyree is home on a 2 week leave from Germany. He meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off the pier. John falls in love with Savannah who is a student on spring break helping build a house for Habitat for Humanity. A romance occurs and Savannah falls deeply in love with John. She promises to write John overseas until he returns.,19.402816,United States of America,2010-02-04,114977104,115.0,English,6.6,1262,Drama,Romance,War,based on novel,army,love
659,659,The Losers,http://www.the-losers.com/,"A tale of double cross and revenge, centered upon the members of an elite U.S. Special Forces unit sent into the Bolivian jungle on a search and destroy mission. The team-Clay, Jensen, Roque, Pooch and Cougar -find themselves the target of a lethal betrayal instigated from inside by a powerful enemy known only as Max. Presumed dead, the group makes plans to even the score when they're joined by the mysterious Aisha, a beautiful operative with her own agenda. Working together, they must remain deep undercover while tracking the heavily-guarded Max, a ruthless man bent on embroiling the world in a new high-tech global war.",24.903418,United States of America,2010-04-23,23580000,97.0,English,6.2,515,Action,Adventure,Crime,hospital,black ops,reference to macgyver
660,660,Don't Be Afraid of the Dark,http://www.dontbeafraidofthedark.com/,A young girl sent to live with her father and his new girlfriend discovers creatures in her new home who want to claim her as one of their own.,14.562197,United States of America,2010-11-06,36993168,99.0,English,5.4,341,Fantasy,Horror,Thriller,monster,remake,creature
661,661,War,,"FBI agent Jack Crawford is out for revenge when his partner is killed and all clues point to the mysterious assassin Rogue. But when Rogue turns up years later to take care of some unfinished business, he triggers a violent clash of rival gangs. Will the truth come out before it's too late? And when the dust settles, who will remain standing?",18.896239,United States of America,2007-08-24,40452643,103.0,广州话 / 廣州話,6.0,414,Action,Thriller,Crime,fbi,revenge,fbi agent
662,662,Unaccompanied Minors,,Five disparate kids snowed in at the airport on Christmas Eve learn some lessons about friendship when they launch a bid to get back to their families and outsmart a disgruntled airport official who wants to keep them grounded.,10.006282,special,2006-12-08,0,90.0,English,5.4,66,Comedy,Family,,holiday,,
664,664,The Box,http://thebox-movie.warnerbros.com/,"Norma and Arthur Lewis, a suburban couple with a young child, receive a simple wooden box as a gift, which bears fatal and irrevocable consequences. A mysterious stranger delivers the message that the box promises to bestow upon its owner $1 million with the press of a button. However pressing this button will simultaneously cause the death of another human being somewhere in the world; someone they don't know. With just 24 hours to have the box in their possession, Norma and Arthur find themselves in the cross-hairs of a startling moral dilemma and must face the true nature of their humanity.",21.606001,United States of America,2009-09-17,33333531,115.0,English,5.4,597,Thriller,Science Fiction,,experiment,homicide,key
667,667,Maximum Risk,,"A policeman takes his twin brother's place and inherits his problems and a beautiful girlfriend. He is forced to kickbox his way from France to the U.S. and back while playing footsie with the FBI and Russian mafia. Not just muscles with a badge, the policeman must find the answers to some tough questions, none harder than what the heck is an accordian player doing in a sauna.",10.115011,United States of America,1996-09-13,51702483,100.0,English,5.2,101,Action,Adventure,Thriller,mistake in person,dying and death,twin brother
668,668,Legend,https://www.uphe.com/movies/legend-2015,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.",32.854557,United Kingdom,2015-09-09,42972994,131.0,English,6.7,973,Crime,Thriller,,biography,based on true story,gangster
669,669,Hot Rod,,"For Rod Kimball, performing stunts is a way of life, even though he is rather accident-prone. Poor Rod cannot even get any respect from his stepfather, Frank, who beats him up in weekly sparring matches. When Frank falls ill, Rod devises his most outrageous stunt yet to raise money for Frank's operation -- and then Rod will kick Frank's butt.",6.309587,United States of America,2007-08-03,14334401,88.0,English,6.3,313,Action,Comedy,,stuntman,step father,swimming pool
670,670,Shark Night,http://www.iamrogue.com/sharknight3d/fullsite/index.html,A weekend at a lake house in the Louisiana Gulf turns into a nightmare for seven vacationers as they are subjected to fresh-water shark attacks.,8.363702,United States of America,2011-09-02,10126458,91.0,English,4.9,132,Horror,Thriller,,shark attack,louisiana,dirty cop
674,674,King's Ransom,,"Hoping to foil his own gold-digging wife's plan, a loathsome businessman arranges his own kidnapping, only to realize that there are plenty of other people interested in his wealth as well.",5.079017,Canada,2005-04-22,0,95.0,English,5.1,14,Comedy,Crime,,caper,action,
676,676,Scream 2,,"Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself.",35.244037,United States of America,1997-12-09,172363301,120.0,English,6.1,840,Horror,Mystery,,film festivals,slaughter,slasher
677,677,The Whole Nine Yards,,"A mobster named Jimmy the Tulip agrees to cooperate with an FBI investigation in order to stay out of prison; he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbors figure out his true identity and come knocking to see if he'd be up for one more hit, suburban style.",23.441135,Canada,2000-02-18,106371651,98.0,English,6.2,531,Comedy,Crime,,bounty,gangster boss,montreal
680,680,Zack and Miri Make a Porno,http://www.zackandmiri.com,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",27.326466,United States of America,2008-09-18,42105111,102.0,English,6.1,721,Comedy,,,pornography,love of one's life,platonic love
681,681,The Men Who Stare at Goats,http://www.themenwhostareatgoatsmovie.com/,"A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",20.69219,United Kingdom,2009-10-17,68729358,93.0,English,5.9,742,Comedy,War,,vietnam veteran,kuwait,new age
682,682,I Don't Know How She Does It,http://www.weinsteinco.com/#/film/idontknowhow,"A comedy centered on the life of Kate Reddy, a finance executive who is the breadwinner for her husband and two kids.",8.630825,United States of America,2011-09-16,30551495,89.0,English,5.0,141,Romance,Comedy,,pregnancy,family vacation,widower
685,685,Zombieland,http://www.zombieland.com/,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",57.300674,United States of America,2009-10-07,102391382,88.0,English,7.2,3550,Comedy,Horror,,washington d.c.,sister sister relationship,post-apocalyptic
686,686,The Waterboy,,Bobby Boucher is a water boy for a struggling college football team. The coach discovers Boucher's hidden rage makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.,23.839127,United States of America,1998-11-06,185991646,90.0,English,5.9,512,Comedy,,,sport,social outcast,ridicule
687,687,Bad Boys,,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",33.872182,United States of America,1995-04-07,141407024,118.0,English,6.5,1699,Action,Comedy,Crime,miami,detective,handcuffs
688,688,Final Destination,,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",38.799596,United States of America,2000-03-16,53302314,98.0,English,6.4,1378,Horror,,,omen,airplane accident,corpse
689,689,Her,http://www.herthemovie.com/,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theordore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",53.682367,China,2013-12-18,47351251,126.0,English,7.9,4097,Romance,Science Fiction,Drama,artificial intelligence,computer,love
692,692,Haywire,http://www.haywiremovie.com/,"Mallory Kane is a highly trained operative who works for a government security contractor in the dirtiest, most dangerous corners of the world. After successfully freeing a Chinese journalist held hostage, she is double crossed and left for dead by someone close to her in her own agency. Suddenly the target of skilled assassins who know her every move, Mallory must find the truth in order to stay alive.",26.257951,Ireland,2011-11-06,33372606,93.0,English,5.6,505,Action,Thriller,,mercenary,secret agent,rescue
693,693,Jaws: The Revenge,,"After another deadly shark attack, Ellen Brody decides she has had enough of New England's Amity Island and moves to the Caribbean to join her son, Michael, and his family. But a great white shark has followed her there, hungry for more lives.",12.777008,United States of America,1987-07-17,51881013,89.0,English,3.5,224,Adventure,Thriller,,shark attack,bahamas,dying and death
694,694,The Longshots,,"The true story of Jasmine Plummer who, at the age of eleven, became the first female to play in Pop Warner football tournament in its 56-year history.",4.030724,United States of America,2008-08-22,0,94.0,English,6.5,11,Drama,Family,,,,
695,695,The Water Diviner,http://www.thewaterdiviner.com/,"In 1919, Australian farmer Joshua Connor travels to Turkey to discover the fate of his three sons, reported missing in action. Holding on to hope, Joshua must travel across the war-torn landscape to find the truth and his own peace.",22.096286,Australia,2014-12-25,15520023,112.0,Pусский,6.8,431,War,Drama,,istanbul,australia,post world war i
699,699,The Hundred-Foot Journey,,A story centered around an Indian family who moves to France and opens a restaurant across the street from a Michelin-starred French restaurant.,27.898438,India,2014-08-06,88880821,122.0,हिन्दी,7.3,508,Drama,,,france,based on novel,indian lead
700,700,The Net,,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...",23.218144,United States of America,1995-07-28,110627965,114.0,English,5.6,354,Crime,Drama,Mystery,cheating,new identity,computer virus
701,701,I Am Sam,,"Sam has the mental capacity of a 7-year-old. He has a daughter with a homeless woman who abandons them when they leave the hospital, leaving Sam to raise Lucy on his own. But as Lucy grows up, Sam's limitations start to become a problem and the authorities take her away. Sam shames high-priced lawyer Rita into taking his case pro bono and in turn teaches her the value of love and family.",26.071644,United States of America,2001-12-28,92542418,132.0,English,7.2,530,Drama,,,foster parents,pro bono,new baby
702,702,Underworld,http://www.sonypictures.com/movies/underworld/site/main.html,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.",81.829237,Germany,2003-09-19,95708457,121.0,English,6.6,2512,Fantasy,Action,Thriller,budapest,subway,love of one's life
703,703,The Informant!,http://theinformantmovie.warnerbros.com/,"A rising star at agri-industry giant Archer Daniels Midland (ADM), Mark Whitacre suddenly turns whistleblower. Even as he exposes his company’s multi-national price-fixing conspiracy to the FBI, Whitacre envisions himself being hailed as a hero of the common man and handed a promotion.",17.772518,United States of America,2009-09-18,35424826,108.0,English,6.0,301,Drama,Comedy,Crime,agriculture,company,witness to murder
704,704,Jay and Silent Bob Strike Back,,"When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production.",21.865021,United States of America,2001-08-22,33788161,104.0,English,6.4,480,Comedy,,,film making,jay and silent bob,self mocking
706,706,"Hail, Caesar!",http://www.hailcaesar-film.com/ww/,"Tells the comedic tale of Eddie Mannix, a fixer who worked for the Hollywood studios in the 1950s. The story finds him at work when a star mysteriously disappears in the middle of filming.",39.006187,United States of America,2016-02-05,63647656,106.0,English,5.7,1309,Comedy,Drama,Mystery,journalist,cat,ransom
707,707,Homefront,,"Phil Broker is a former DEA agent who has gone through a crisis after his action against a biker gang went horribly wrong and it cost the life of his boss' son. He is recently widowed and is left with a 9-years-old daughter,Maddy. He decides to quit the turbulent and demanding life of thrill for Maddy's sake and retires to a small town. His daughter fights off a boy who was bullying her at school and this sets in motion a round of events that end in his direct confrontation with the local Meth drug lord. His past history with the biker gang also enters the arena, making matters more complex. But he has a mission in his mind to protect his daughter and he is ready to pay any cost that it demands.",35.737655,United States of America,2013-11-27,43058898,100.0,English,6.4,875,Action,Thriller,,based on novel,drug dealer,ex-cop
708,708,The Little Vampire,,"Based on the popular books, the story tells of Tony who wants a friend to add some adventure to his life. What he gets is Rudolph, a vampire kid with a good appetite. The two end up inseparable, but their fun is cut short when all the hopes of the vampire race could be gone forever in single night. With Tony's access to the daytime world, he helps them to find what they've always wanted.",4.365196,Germany,2000-10-27,13555988,95.0,English,6.1,77,Family,Horror,,based on novel,vampire,bite
711,711,Mad Money,,Three female employees of the Federal Reserve plot to steal money that is about to be destroyed.,6.847133,United States of America,2008-01-17,0,104.0,English,5.9,140,Action,Comedy,Crime,gang,hoodlum,woman director
713,713,Death at a Funeral,http://www.deathatafuneral-themovie.com/,Chaos ensues when a man tries to expose a dark secret regarding a recently deceased patriarch of a dysfunctional British family.,20.410354,United Kingdom,2007-02-09,46,90.0,English,6.9,497,Comedy,Drama,,brother brother relationship,farewell,father son relationship
714,714,Silver Linings Playbook,http://silverliningsplaybookmovie.com/,"After spending eight months in a mental institution, a former teacher moves back in with his parents and tries to reconcile with his ex-wife.",63.599973,United States of America,2012-09-08,205738714,122.0,English,6.9,4742,Drama,Comedy,Romance,dancing,philadelphia,running
715,715,Freedom Writers,http://www.freedomwriters.com/,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",17.746981,Germany,2007-01-05,41170784,123.0,English,7.5,356,Crime,Drama,,black people,based on novel,holocaust
716,716,For Colored Girls,http://www.forcoloredgirlsmovie.com/,"About existence from the perspective of 20 nameless black females. Each of the women portray one of the characters represented in the collection of twenty poems, revealing different issues that impact women in general and women of color in particular.",1.934524,United States of America,2010-11-05,37000000,134.0,English,7.0,22,Drama,,,female nudity,poem,rape
717,717,Never Back Down,http://www.neverbackdownthemovie.com/,"Rebellious Jake Tyler is lured into an ultimate underground fight Scene at his new high school, after receiving threats to the safety of his friends and family Jake decides to seek the mentoring of a veteran fighter who trains him for one final no-holds-barred elimination fight with his nemesis and local martial arts champion Ryan McCarthy.",26.21425,United States of America,2008-03-04,41627431,115.0,English,6.4,497,Drama,Action,,rebel,martial arts,underground
721,721,Jaws 2,,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,19.636044,United States of America,1978-06-16,187884007,116.0,English,5.9,406,Horror,Thriller,,mayor,island,police chief
723,723,The Conjuring,http://theconjuring.warnerbros.com,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",49.975409,United States of America,2013-07-18,318000141,112.0,English,7.4,3092,Horror,Thriller,,sister sister relationship,exorcism,rhode island
